text,condition,record_type,Care_Profile
"Wet tail in hamster; guarded prognosis, provide heat support, antibiotics, fluids.",Digestive Issues,Clinical Notes,wet tail in hamster guarded prognosis provide heat support antibiotics fluids digestive issues clinical notes
Consider therapeutic laser sessions.,Mobility Problems,Clinical Notes,consider therapeutic laser sessions mobility problems clinical notes
My cat's skin irritation (miliary dermatitis) is caused by fleas.,Parasites,Owner Observation,my cats skin irritation miliary dermatitis is caused by fleas parasites owner observation
My hamster has diarrhea and a wet tail area.,Digestive Issues,Owner Observation,my hamster has diarrhea and a wet tail area digestive issues owner observation
"My dog's breath smells unusually foul, almost like sewage.",Digestive Issues,Owner Observation,my dogs breath smells unusually foul almost like sewage digestive issues owner observation
Utilize zinc sulfate centrifugation for fecal flotation to improve Giardia cyst detection.,Parasites,Clinical Notes,utilize zinc sulfate centrifugation for fecal flotation to improve giardia cyst detection parasites clinical notes
Schedule phone update or recheck appointment based on patient stability and owner preference.,Digestive Issues,Clinical Notes,schedule phone update or recheck appointment based on patient stability and owner preference digestive issues clinical notes
Fecal score recorded (using standardized chart).,Digestive Issues,Clinical Notes,fecal score recorded using standardized chart digestive issues clinical notes
My dog has progressive hind limb weakness diagnosed as DM.,Mobility Problems,Owner Observation,my dog has progressive hind limb weakness diagnosed as dm mobility problems owner observation
Pet’s belly is distended and he’s lethargic.,Digestive Issues,Owner Observation,pet’s belly is distended and he’s lethargic digestive issues owner observation
"My rabbit has thick, honey-colored crusts filling its ear canals.",Parasites,Owner Observation,my rabbit has thick honeycolored crusts filling its ear canals parasites owner observation
"Recommend physical therapy/rehabilitation (e.g., underwater treadmill, laser therapy, passive range of motion exercises).",Mobility Problems,Clinical Notes,recommend physical therapyrehabilitation eg underwater treadmill laser therapy passive range of motion exercises mobility problems clinical notes
Pattern baldness (pinnal alopecia) noted in Dachshund; cosmetic issue.,Skin Irritations,Clinical Notes,pattern baldness pinnal alopecia noted in dachshund cosmetic issue skin irritations clinical notes
"My cat has Toxoplasma antibodies, need to discuss risks.",Parasites,Owner Observation,my cat has toxoplasma antibodies need to discuss risks parasites owner observation
My rabbit's appetite has slowly decreased over several days.,Digestive Issues,Owner Observation,my rabbits appetite has slowly decreased over several days digestive issues owner observation
Osteochondritis dissecans (OCD) flap identified on caudal aspect of humeral head.,Mobility Problems,Clinical Notes,osteochondritis dissecans ocd flap identified on caudal aspect of humeral head mobility problems clinical notes
"Monitor for fever, lethargy, anorexia indicating systemic involvement.",Ear Infections,Clinical Notes,monitor for fever lethargy anorexia indicating systemic involvement ear infections clinical notes
Otitis externa with erythema; prescribe steroid therapy.,Ear Infections,Clinical Notes,otitis externa with erythema prescribe steroid therapy ear infections clinical notes
My dog injured his back (IVDD) and requires strict rest.,Mobility Problems,Owner Observation,my dog injured his back ivdd and requires strict rest mobility problems owner observation
"Palpable medial buttress (fibrosis of joint capsule) present in left stifle, indicative of chronic CCL condition.",Mobility Problems,Clinical Notes,palpable medial buttress fibrosis of joint capsule present in left stifle indicative of chronic ccl condition mobility problems clinical notes
Ferret is scratching under its arms.,Skin Irritations,Owner Observation,ferret is scratching under its arms skin irritations owner observation
"Neoplasia (e.g., adenocarcinoma, lymphoma) high on differential list for older animal.",Digestive Issues,Clinical Notes,neoplasia eg adenocarcinoma lymphoma high on differential list for older animal digestive issues clinical notes
Kitten still has diarrhea despite multiple deworming treatments.,Parasites,Owner Observation,kitten still has diarrhea despite multiple deworming treatments parasites owner observation
"Dog coughs sometimes, vet mentioned possible heartworm or lungworm.",Parasites,Owner Observation,dog coughs sometimes vet mentioned possible heartworm or lungworm parasites owner observation
Consider referral to neurologist if central vestibular signs suspected.,Ear Infections,Clinical Notes,consider referral to neurologist if central vestibular signs suspected ear infections clinical notes
"Immune-mediated polyarthritis suspected; perform joint taps on multiple joints (carpi, stifles, hocks), ANA titer, rheumatoid factor.",Mobility Problems,Clinical Notes,immunemediated polyarthritis suspected perform joint taps on multiple joints carpi stifles hocks ana titer rheumatoid factor mobility problems clinical notes
Ensure rabbit environment is clean to prevent flystrike.,Parasites,Clinical Notes,ensure rabbit environment is clean to prevent flystrike parasites clinical notes
Instruct owner on proper administration of oral medications.,Digestive Issues,Clinical Notes,instruct owner on proper administration of oral medications digestive issues clinical notes
Treat secondary pyoderma with appropriate antibiotics based on cytology/culture.,Parasites,Clinical Notes,treat secondary pyoderma with appropriate antibiotics based on cytologyculture parasites clinical notes
Recommend imaging (CT or MRI) to evaluate middle and inner ear structures.,Ear Infections,Clinical Notes,recommend imaging ct or mri to evaluate middle and inner ear structures ear infections clinical notes
"Dog shivers or trembles, seems like he's in pain.",Mobility Problems,Owner Observation,dog shivers or trembles seems like hes in pain mobility problems owner observation
Cat has arthritis secondary to previous injury.,Mobility Problems,Owner Observation,cat has arthritis secondary to previous injury mobility problems owner observation
"Kitten has severe, bloody diarrhea caused by Coccidia.",Parasites,Owner Observation,kitten has severe bloody diarrhea caused by coccidia parasites owner observation
Strategic deworming protocol recommended for puppies/kittens.,Parasites,Clinical Notes,strategic deworming protocol recommended for puppieskittens parasites clinical notes
Recommend hypoallergenic diet trial for suspected food allergy.,Digestive Issues,Clinical Notes,recommend hypoallergenic diet trial for suspected food allergy digestive issues clinical notes
Prescribe spinosad (Comfortis) or spinetoram (Cheristin) for flea control.,Parasites,Clinical Notes,prescribe spinosad comfortis or spinetoram cheristin for flea control parasites clinical notes
Exocrine pancreatic insufficiency (EPI) suspected due to steatorrhea and weight loss; TLI test recommended.,Digestive Issues,Clinical Notes,exocrine pancreatic insufficiency epi suspected due to steatorrhea and weight loss tli test recommended digestive issues clinical notes
Cat has shown no interest in food for 24 hours.,Digestive Issues,Owner Observation,cat has shown no interest in food for hours digestive issues owner observation
Assess hearing crudely via response to auditory stimuli (clap test). BAER testing definitive.,Ear Infections,Clinical Notes,assess hearing crudely via response to auditory stimuli clap test baer testing definitive ear infections clinical notes
Cerenia injection administered for anti-emetic effect.,Digestive Issues,Clinical Notes,cerenia injection administered for antiemetic effect digestive issues clinical notes
Ferret has thinning fur overall.,Skin Irritations,Owner Observation,ferret has thinning fur overall skin irritations owner observation
My cat seems off balance and walks in circles sometimes.,Ear Infections,Owner Observation,my cat seems off balance and walks in circles sometimes ear infections owner observation
Suspect gastric ulceration due to melena/hematemesis and NSAID history. Start omeprazole and sucralfate.,Digestive Issues,Clinical Notes,suspect gastric ulceration due to melenahematemesis and nsaid history start omeprazole and sucralfate digestive issues clinical notes
"My rabbit has soft, unformed droppings instead of normal pellets.",Digestive Issues,Owner Observation,my rabbit has soft unformed droppings instead of normal pellets digestive issues owner observation
Cat shows pain when her spine is gently pressed.,Mobility Problems,Owner Observation,cat shows pain when her spine is gently pressed mobility problems owner observation
Chronic constipation; prescribe lactulose.,Digestive Issues,Clinical Notes,chronic constipation prescribe lactulose digestive issues clinical notes
"My rabbit's fur looks like it has dandruff, but the flakes are moving!",Parasites,Owner Observation,my rabbits fur looks like it has dandruff but the flakes are moving parasites owner observation
Cat is hiding more and interacting less.,Mobility Problems,Owner Observation,cat is hiding more and interacting less mobility problems owner observation
Legg-Calve-Perthes condition (avascular necrosis of femoral head) suspected in young small breed dog.,Mobility Problems,Clinical Notes,leggcalveperthes condition avascular necrosis of femoral head suspected in young small breed dog mobility problems clinical notes
My cat started peeing next to the litter box instead of climbing in.,Mobility Problems,Owner Observation,my cat started peeing next to the litter box instead of climbing in mobility problems owner observation
Administer Apoquel for rapid relief of allergic itch.,Skin Irritations,Clinical Notes,administer apoquel for rapid relief of allergic itch skin irritations clinical notes
Intradermal allergy testing indicated for non-seasonal pruritus.,Skin Irritations,Clinical Notes,intradermal allergy testing indicated for nonseasonal pruritus skin irritations clinical notes
Radiographs show narrowing of L7-S1 disc space.,Mobility Problems,Clinical Notes,radiographs show narrowing of ls disc space mobility problems clinical notes
Spondylosis deformans noted incidentally on spinal radiographs; may not be clinically significant.,Mobility Problems,Clinical Notes,spondylosis deformans noted incidentally on spinal radiographs may not be clinically significant mobility problems clinical notes
My cat was diagnosed with lungworm after chronic respiratory signs.,Parasites,Owner Observation,my cat was diagnosed with lungworm after chronic respiratory signs parasites owner observation
"Guinea pig has lice, visible as small white dots.",Parasites,Owner Observation,guinea pig has lice visible as small white dots parasites owner observation
Guinea pig has dandruff that seems to be moving.,Parasites,Owner Observation,guinea pig has dandruff that seems to be moving parasites owner observation
Treat tick-borne condition with doxycycline.,Parasites,Clinical Notes,treat tickborne condition with doxycycline parasites clinical notes
My rabbit vomited a small amount of green fluid.,Digestive Issues,Owner Observation,my rabbit vomited a small amount of green fluid digestive issues owner observation
Dog has swimmer's ear.,Ear Infections,Owner Observation,dog has swimmers ear ear infections owner observation
Juvenile cellulitis (puppy strangles) presenting with facial swelling and pustules.,Skin Irritations,Clinical Notes,juvenile cellulitis puppy strangles presenting with facial swelling and pustules skin irritations clinical notes
My dog gets ear infections every summer after swimming in the lake.,Ear Infections,Owner Observation,my dog gets ear infections every summer after swimming in the lake ear infections owner observation
Myringotomy performed to sample middle ear fluid.,Ear Infections,Clinical Notes,myringotomy performed to sample middle ear fluid ear infections clinical notes
Parvovirus snap test positive; initiate isolation protocol and supportive care.,Digestive Issues,Clinical Notes,parvovirus snap test positive initiate isolation protocol and supportive care digestive issues clinical notes
Document parasite findings and treatment plan in medical record.,Parasites,Clinical Notes,document parasite findings and treatment plan in medical record parasites clinical notes
Ferret has diarrhea and is dehydrated.,Digestive Issues,Owner Observation,ferret has diarrhea and is dehydrated digestive issues owner observation
My dog has Ehrlichia from a tick.,Parasites,Owner Observation,my dog has ehrlichia from a tick parasites owner observation
Administer subcutaneous fluids for rehydration.,Digestive Issues,Clinical Notes,administer subcutaneous fluids for rehydration digestive issues clinical notes
"Instruct owner on monitoring toes for swelling, coldness, or odor distal to cast/splint.",Mobility Problems,Clinical Notes,instruct owner on monitoring toes for swelling coldness or odor distal to castsplint mobility problems clinical notes
"My cat had ear polyps removed before, worried they are back.",Ear Infections,Owner Observation,my cat had ear polyps removed before worried they are back ear infections owner observation
"Protein-losing enteropathy (PLE) suspected; differentials include lymphangiectasia, IBD, lymphoma. Further workup needed.",Digestive Issues,Clinical Notes,proteinlosing enteropathy ple suspected differentials include lymphangiectasia ibd lymphoma further workup needed digestive issues clinical notes
My puppy had roundworms treated but still has diarrhea.,Parasites,Owner Observation,my puppy had roundworms treated but still has diarrhea parasites owner observation
Found a flea on myself after petting the cat.,Parasites,Owner Observation,found a flea on myself after petting the cat parasites owner observation
My cat has sores appearing on her paw pads.,Skin Irritations,Owner Observation,my cat has sores appearing on her paw pads skin irritations owner observation
"Treat Cheyletiella with selamectin, ivermectin, or fipronil.",Parasites,Clinical Notes,treat cheyletiella with selamectin ivermectin or fipronil parasites clinical notes
"Panosteitis suspected in young, large breed dog with shifting leg lameness and long bone pain on palpation.",Mobility Problems,Clinical Notes,panosteitis suspected in young large breed dog with shifting leg lameness and long bone pain on palpation mobility problems clinical notes
My dog's knees look puffy and feel warm.,Mobility Problems,Owner Observation,my dogs knees look puffy and feel warm mobility problems owner observation
Puppy has redness and irritation around his genitals.,Skin Irritations,Owner Observation,puppy has redness and irritation around his genitals skin irritations owner observation
"Use milbemycin oxime (Interceptor, Sentinel) for heartworm/roundworm/hookworm/whipworm prevention.",Parasites,Clinical Notes,use milbemycin oxime interceptor sentinel for heartwormroundwormhookwormwhipworm prevention parasites clinical notes
Reassess pain control at each visit.,Mobility Problems,Clinical Notes,reassess pain control at each visit mobility problems clinical notes
Cat has pain when her spine is palpated.,Mobility Problems,Owner Observation,cat has pain when her spine is palpated mobility problems owner observation
"Suspect contact dermatitis on ventral chest/abdomen; advise owner regarding potential irritants (bedding, cleaners).",Skin Irritations,Clinical Notes,suspect contact dermatitis on ventral chestabdomen advise owner regarding potential irritants bedding cleaners skin irritations clinical notes
"Implement routine deworming schedule for puppies/kittens (e.g., starting at 2 weeks, repeat every 2 weeks).",Parasites,Clinical Notes,implement routine deworming schedule for puppieskittens eg starting at weeks repeat every weeks parasites clinical notes
Absence of withdrawal reflex in hind limbs.,Mobility Problems,Clinical Notes,absence of withdrawal reflex in hind limbs mobility problems clinical notes
Suspect pancreatitis based on clinical signs and history; cPL snap test pending.,Digestive Issues,Clinical Notes,suspect pancreatitis based on clinical signs and history cpl snap test pending digestive issues clinical notes
Paraspinal hyperesthesia noted in T13-L2 region. Rule out Type I IVDD.,Mobility Problems,Clinical Notes,paraspinal hyperesthesia noted in tl region rule out type i ivdd mobility problems clinical notes
Sebaceous adenitis suspected due to follicular casts and alopecia; biopsy confirms.,Skin Irritations,Clinical Notes,sebaceous adenitis suspected due to follicular casts and alopecia biopsy confirms skin irritations clinical notes
Luxated joint identified; attempt closed reduction.,Mobility Problems,Clinical Notes,luxated joint identified attempt closed reduction mobility problems clinical notes
Dog has developed hives all over his body after rolling in the grass.,Skin Irritations,Owner Observation,dog has developed hives all over his body after rolling in the grass skin irritations owner observation
Knemidokoptes mites causing scaly face/leg in bird; treat with ivermectin.,Parasites,Clinical Notes,knemidokoptes mites causing scaly faceleg in bird treat with ivermectin parasites clinical notes
Discuss importance of year-round flea prevention.,Skin Irritations,Clinical Notes,discuss importance of yearround flea prevention skin irritations clinical notes
Papules and erythema on chest; medicated wash prescribed.,Skin Irritations,Clinical Notes,papules and erythema on chest medicated wash prescribed skin irritations clinical notes
My dog pants heavily even when resting indoors.,Mobility Problems,Owner Observation,my dog pants heavily even when resting indoors mobility problems owner observation
Intestinal parasites should be considered a differential for chronic vomiting or diarrhea.,Parasites,Clinical Notes,intestinal parasites should be considered a differential for chronic vomiting or diarrhea parasites clinical notes
My dog's back legs seem weak and sometimes give out.,Mobility Problems,Owner Observation,my dogs back legs seem weak and sometimes give out mobility problems owner observation
"Recommend installing ramps, using non-slip mats, providing orthopedic bedding, and using raised food/water bowls.",Mobility Problems,Clinical Notes,recommend installing ramps using nonslip mats providing orthopedic bedding and using raised foodwater bowls mobility problems clinical notes
"GI stasis suspected in rabbit; provide supportive care (fluids, analgesia, motility drugs).",Digestive Issues,Clinical Notes,gi stasis suspected in rabbit provide supportive care fluids analgesia motility drugs digestive issues clinical notes
"Rule out underlying trauma (e.g., bite wound, foreign body penetration) as cause of pinnal swelling/infection.",Ear Infections,Clinical Notes,rule out underlying trauma eg bite wound foreign body penetration as cause of pinnal swellinginfection ear infections clinical notes
Monitor for cast sores or swelling distal to bandage.,Mobility Problems,Clinical Notes,monitor for cast sores or swelling distal to bandage mobility problems clinical notes
Cat has diarrhea after getting into the dog's food.,Digestive Issues,Owner Observation,cat has diarrhea after getting into the dogs food digestive issues owner observation
"Instruct owner on monitoring parameters: appetite (scale 1-5), vomiting episodes, fecal score (1-7), activity level.",Digestive Issues,Clinical Notes,instruct owner on monitoring parameters appetite scale vomiting episodes fecal score activity level digestive issues clinical notes
Guinea pig has flaky skin and hair loss on its rump.,Skin Irritations,Owner Observation,guinea pig has flaky skin and hair loss on its rump skin irritations owner observation
My guinea pig's droppings are much smaller and fewer than usual.,Digestive Issues,Owner Observation,my guinea pigs droppings are much smaller and fewer than usual digestive issues owner observation
My dog has blackheads and pimples on his muzzle.,Skin Irritations,Owner Observation,my dog has blackheads and pimples on his muzzle skin irritations owner observation
"Impacted and infected anal sacs causing pain and reluctance to defecate. Expressed sacs, infuse antibiotic ointment.",Digestive Issues,Clinical Notes,impacted and infected anal sacs causing pain and reluctance to defecate expressed sacs infuse antibiotic ointment digestive issues clinical notes
Monitor body condition score (BCS) and muscle condition score (MCS).,Digestive Issues,Clinical Notes,monitor body condition score bcs and muscle condition score mcs digestive issues clinical notes
"Advise owner on modifications like using carpet runners, ramps instead of stairs, and avoiding slippery surfaces.",Mobility Problems,Clinical Notes,advise owner on modifications like using carpet runners ramps instead of stairs and avoiding slippery surfaces mobility problems clinical notes
Cat has vomited multiple times in the last hour.,Digestive Issues,Owner Observation,cat has vomited multiple times in the last hour digestive issues owner observation
My rabbit has crusty sores around its nose and mouth.,Skin Irritations,Owner Observation,my rabbit has crusty sores around its nose and mouth skin irritations owner observation
"Bilateral otitis externa (AU). Moderate erythema, mild edema, copious brown ceruminous exudate.",Ear Infections,Clinical Notes,bilateral otitis externa au moderate erythema mild edema copious brown ceruminous exudate ear infections clinical notes
Guinea pig is losing weight and has diarrhea.,Digestive Issues,Owner Observation,guinea pig is losing weight and has diarrhea digestive issues owner observation
"My dog licks his paws raw, vet mentioned possible mites.",Parasites,Owner Observation,my dog licks his paws raw vet mentioned possible mites parasites owner observation
"Cytauxzoon felis piroplasms identified on peripheral blood smear. Initiate treatment (atovaquone/azithromycin), grave prognosis.",Parasites,Clinical Notes,cytauxzoon felis piroplasms identified on peripheral blood smear initiate treatment atovaquoneazithromycin grave prognosis parasites clinical notes
"Provide comprehensive written discharge summary including diagnosis, treatment plan, and follow-up.",Ear Infections,Clinical Notes,provide comprehensive written discharge summary including diagnosis treatment plan and followup ear infections clinical notes
Osteoarthritis in elbows; start joint supplements.,Mobility Problems,Clinical Notes,osteoarthritis in elbows start joint supplements mobility problems clinical notes
"Prescribe topical antibiotic/antifungal/steroid combination (e.g., Mometamax, Otomax, Claro).",Ear Infections,Clinical Notes,prescribe topical antibioticantifungalsteroid combination eg mometamax otomax claro ear infections clinical notes
Advise hypoallergenic shampoo and conditioner.,Skin Irritations,Clinical Notes,advise hypoallergenic shampoo and conditioner skin irritations clinical notes
My dog begs for food but then walks away when I offer it.,Digestive Issues,Owner Observation,my dog begs for food but then walks away when i offer it digestive issues owner observation
Initiate IV fluid therapy and monitor electrolytes.,Digestive Issues,Clinical Notes,initiate iv fluid therapy and monitor electrolytes digestive issues clinical notes
"Symmetrical alopecia on flanks; rule out endocrine disorders (hypothyroidism, Cushing's).",Skin Irritations,Clinical Notes,symmetrical alopecia on flanks rule out endocrine disorders hypothyroidism cushings skin irritations clinical notes
Acral lick granuloma on carpus; address underlying anxiety/boredom.,Skin Irritations,Clinical Notes,acral lick granuloma on carpus address underlying anxietyboredom skin irritations clinical notes
Initiate 8-week hypoallergenic food trial (novel protein or hydrolyzed diet) for suspected food allergy.,Skin Irritations,Clinical Notes,initiate week hypoallergenic food trial novel protein or hydrolyzed diet for suspected food allergy skin irritations clinical notes
Adjust medication dosages as needed.,Mobility Problems,Clinical Notes,adjust medication dosages as needed mobility problems clinical notes
Cat's skin seems very thin and tears easily.,Skin Irritations,Owner Observation,cats skin seems very thin and tears easily skin irritations owner observation
Seborrhea with erythema on limbs; shampoo therapy started.,Skin Irritations,Clinical Notes,seborrhea with erythema on limbs shampoo therapy started skin irritations clinical notes
"Neurological examination reveals hind limb ataxia, proprioceptive deficits, and hyperreflexia.",Mobility Problems,Clinical Notes,neurological examination reveals hind limb ataxia proprioceptive deficits and hyperreflexia mobility problems clinical notes
"My dog is frantically chewing at his hind end, and I see little black specks in his fur.",Parasites,Owner Observation,my dog is frantically chewing at his hind end and i see little black specks in his fur parasites owner observation
There's yellowish pus draining from my puppy's ear.,Ear Infections,Owner Observation,theres yellowish pus draining from my puppys ear ear infections owner observation
Scaling and redness on ears; topical steroids prescribed.,Skin Irritations,Clinical Notes,scaling and redness on ears topical steroids prescribed skin irritations clinical notes
My dog has patellar luxation (kneecap slips).,Mobility Problems,Owner Observation,my dog has patellar luxation kneecap slips mobility problems owner observation
Otoscopic exam: Tympanic membrane visualized and intact (left ear); obscured by debris (right ear).,Ear Infections,Clinical Notes,otoscopic exam tympanic membrane visualized and intact left ear obscured by debris right ear ear infections clinical notes
Check for ticks within the ear canal.,Ear Infections,Clinical Notes,check for ticks within the ear canal ear infections clinical notes
Pruritic sores on chest; medicated bath recommended.,Skin Irritations,Clinical Notes,pruritic sores on chest medicated bath recommended skin irritations clinical notes
"If treating resistant Pseudomonas, consider TrizEDTA flushes and potentially compounded topical antibiotics based on MIC values.",Ear Infections,Clinical Notes,if treating resistant pseudomonas consider trizedta flushes and potentially compounded topical antibiotics based on mic values ear infections clinical notes
Cutaneous B-cell lymphoma suspected based on multiple nodules; biopsy for confirmation and staging.,Skin Irritations,Clinical Notes,cutaneous bcell lymphoma suspected based on multiple nodules biopsy for confirmation and staging skin irritations clinical notes
Dog has hair loss in a pattern that follows the leash/collar line.,Skin Irritations,Owner Observation,dog has hair loss in a pattern that follows the leashcollar line skin irritations owner observation
Puppy's ears always seem damp and dirty inside.,Ear Infections,Owner Observation,puppys ears always seem damp and dirty inside ear infections owner observation
Cerebrospinal fluid (CSF) analysis results within normal limits.,Mobility Problems,Clinical Notes,cerebrospinal fluid csf analysis results within normal limits mobility problems clinical notes
"My dog licks his front paws incessantly, vet mentioned possible Demodex.",Parasites,Owner Observation,my dog licks his front paws incessantly vet mentioned possible demodex parasites owner observation
"Perianal irritation and scooting; express anal sacs, check for tapeworms.",Skin Irritations,Clinical Notes,perianal irritation and scooting express anal sacs check for tapeworms skin irritations clinical notes
Pododermatitis with interdigital swelling and discharge; cytology shows yeast and bacteria.,Skin Irritations,Clinical Notes,pododermatitis with interdigital swelling and discharge cytology shows yeast and bacteria skin irritations clinical notes
OFA preliminary radiographs suggest moderate elbow dysplasia.,Mobility Problems,Clinical Notes,ofa preliminary radiographs suggest moderate elbow dysplasia mobility problems clinical notes
Cat spends most of her time sleeping in secluded spots.,Mobility Problems,Owner Observation,cat spends most of her time sleeping in secluded spots mobility problems owner observation
My dog has degenerative myelopathy (DM).,Mobility Problems,Owner Observation,my dog has degenerative myelopathy dm mobility problems owner observation
Calcinosis cutis suspected in patient on chronic steroids; firm plaques on dorsum.,Skin Irritations,Clinical Notes,calcinosis cutis suspected in patient on chronic steroids firm plaques on dorsum skin irritations clinical notes
"My dog just seems 'off' - lethargic, poor appetite.",Digestive Issues,Owner Observation,my dog just seems off lethargic poor appetite digestive issues owner observation
"Recommend screening for tick-borne conditions 4-8 weeks after known tick exposure, even if asymptomatic.",Parasites,Clinical Notes,recommend screening for tickborne conditions weeks after known tick exposure even if asymptomatic parasites clinical notes
Dog's skin is sensitive to touch in certain areas.,Skin Irritations,Owner Observation,dogs skin is sensitive to touch in certain areas skin irritations owner observation
Guinea pig hasn't produced any droppings in 24 hours.,Digestive Issues,Owner Observation,guinea pig hasnt produced any droppings in hours digestive issues owner observation
"Kitten has flaky skin, like bad dandruff.",Skin Irritations,Owner Observation,kitten has flaky skin like bad dandruff skin irritations owner observation
"Cat is excessively grooming her belly, making it bald.",Parasites,Owner Observation,cat is excessively grooming her belly making it bald parasites owner observation
Skin biopsy submitted for histopathology and culture.,Skin Irritations,Clinical Notes,skin biopsy submitted for histopathology and culture skin irritations clinical notes
My Siamese cat is developing crusty lesions on her ear tips and nose.,Skin Irritations,Owner Observation,my siamese cat is developing crusty lesions on her ear tips and nose skin irritations owner observation
"Rabbit has lost fur on its nose, looks sore.",Parasites,Owner Observation,rabbit has lost fur on its nose looks sore parasites owner observation
"Recommend medicated shampoo (e.g., chlorhexidine, ketoconazole) based on cytology findings.",Skin Irritations,Clinical Notes,recommend medicated shampoo eg chlorhexidine ketoconazole based on cytology findings skin irritations clinical notes
Immune-mediated skin condition suspected; requires further workup.,Skin Irritations,Clinical Notes,immunemediated skin condition suspected requires further workup skin irritations clinical notes
"My hamster is scratching a lot and has dry, flaky skin.",Parasites,Owner Observation,my hamster is scratching a lot and has dry flaky skin parasites owner observation
"Rabbit is only eating greens, refusing hay.",Digestive Issues,Owner Observation,rabbit is only eating greens refusing hay digestive issues owner observation
Rabbit has become incontinent (urine and feces).,Mobility Problems,Owner Observation,rabbit has become incontinent urine and feces mobility problems owner observation
"Dog has pale, clay-colored stools.",Digestive Issues,Owner Observation,dog has pale claycolored stools digestive issues owner observation
Advise bathing pet with appropriate shampoo to remove flea dirt/scales.,Parasites,Clinical Notes,advise bathing pet with appropriate shampoo to remove flea dirtscales parasites clinical notes
Ferret is walking with a stiff gait.,Mobility Problems,Owner Observation,ferret is walking with a stiff gait mobility problems owner observation
Recommend omega-3 fatty acid supplementation to support skin barrier function.,Skin Irritations,Clinical Notes,recommend omega fatty acid supplementation to support skin barrier function skin irritations clinical notes
Supraspinatus tendinopathy suspected.,Mobility Problems,Clinical Notes,supraspinatus tendinopathy suspected mobility problems clinical notes
Puppy constantly has dirty ears despite regular cleaning.,Ear Infections,Owner Observation,puppy constantly has dirty ears despite regular cleaning ear infections owner observation
My rabbit shakes its head frequently.,Ear Infections,Owner Observation,my rabbit shakes its head frequently ear infections owner observation
My cat has Giardia and needs medication.,Parasites,Owner Observation,my cat has giardia and needs medication parasites owner observation
"Bumblefoot (pododermatitis) present in guinea pig; address husbandry (bedding, hygiene) and treat infection/pain.",Mobility Problems,Clinical Notes,bumblefoot pododermatitis present in guinea pig address husbandry bedding hygiene and treat infectionpain mobility problems clinical notes
My hamster's droppings are stuck together.,Digestive Issues,Owner Observation,my hamsters droppings are stuck together digestive issues owner observation
Bone biopsy collected for histopathology.,Mobility Problems,Clinical Notes,bone biopsy collected for histopathology mobility problems clinical notes
"Found a long, segmented worm in the dog's stool this morning.",Parasites,Owner Observation,found a long segmented worm in the dogs stool this morning parasites owner observation
"Dog seems nauseous (drooling, lip smacking) and refused his favorite treat.",Digestive Issues,Owner Observation,dog seems nauseous drooling lip smacking and refused his favorite treat digestive issues owner observation
PennHIP evaluation performed for hip laxity assessment.,Mobility Problems,Clinical Notes,pennhip evaluation performed for hip laxity assessment mobility problems clinical notes
Vertical ear canal ablation (VECA) considered for neoplasia confined to vertical canal.,Ear Infections,Clinical Notes,vertical ear canal ablation veca considered for neoplasia confined to vertical canal ear infections clinical notes
Document response to previous treatments.,Ear Infections,Clinical Notes,document response to previous treatments ear infections clinical notes
"Cat has tiny scabs all over her back, feels like sandpaper.",Parasites,Owner Observation,cat has tiny scabs all over her back feels like sandpaper parasites owner observation
Heartworm adulticide treatment (melarsomine injections) administered according to AHS guidelines. Strict exercise restriction crucial.,Parasites,Clinical Notes,heartworm adulticide treatment melarsomine injections administered according to ahs guidelines strict exercise restriction crucial parasites clinical notes
"Evaluate for concurrent dermatological conditions (e.g., FAD, atopy).",Ear Infections,Clinical Notes,evaluate for concurrent dermatological conditions eg fad atopy ear infections clinical notes
Implement long-term maintenance protocol involving weekly cleaning and application of topical steroid.,Ear Infections,Clinical Notes,implement longterm maintenance protocol involving weekly cleaning and application of topical steroid ear infections clinical notes
"Observe gait at walk and trot, assess for head bob (forelimb) or hip hike (hindlimb).",Mobility Problems,Clinical Notes,observe gait at walk and trot assess for head bob forelimb or hip hike hindlimb mobility problems clinical notes
Exploratory laparotomy reveals linear foreign body extending from stomach to jejunum. Enterotomy performed.,Digestive Issues,Clinical Notes,exploratory laparotomy reveals linear foreign body extending from stomach to jejunum enterotomy performed digestive issues clinical notes
"Cat has chronic intermittent vomiting, maybe once or twice a week.",Digestive Issues,Owner Observation,cat has chronic intermittent vomiting maybe once or twice a week digestive issues owner observation
My ferret seems generally unwell since the ear problem started.,Ear Infections,Owner Observation,my ferret seems generally unwell since the ear problem started ear infections owner observation
My puppy has had soft stools since we adopted him from the shelter.,Digestive Issues,Owner Observation,my puppy has had soft stools since we adopted him from the shelter digestive issues owner observation
Rabbit seems unable to move its hind legs properly.,Mobility Problems,Owner Observation,rabbit seems unable to move its hind legs properly mobility problems owner observation
My dog has Lyme condition causing shifting leg lameness.,Mobility Problems,Owner Observation,my dog has lyme condition causing shifting leg lameness mobility problems owner observation
Solar dermatitis on non-pigmented pinnae/planum nasale; advise sun avoidance/sunscreen.,Skin Irritations,Clinical Notes,solar dermatitis on nonpigmented pinnaeplanum nasale advise sun avoidancesunscreen skin irritations clinical notes
Culture results: Methicillin-resistant Staphylococcus pseudintermedius (MRSP); consult on treatment.,Ear Infections,Clinical Notes,culture results methicillinresistant staphylococcus pseudintermedius mrsp consult on treatment ear infections clinical notes
